id,name,level,articles,citations,hindex
dkdkurhylhoa,P DI GIAMBERARDINO,2,0,0,0
vlrwamzcsrox,S CHIUSANO,1,0,0,0
jgluzdfgtaru,T GAGIE,1,25,280,11
qvbmshwhuemi,T GAGIE,2,12,220,8
qrzvfsadzefz,E FERSINI,2,14,160,10
ztcynkrroiis,A PASSERINI,1,18,234,7
bdudhaopekdk,R TONELLI,1,7,80,6
lpxxhfgtctut,R TONELLI,2,4,80,6
kropntxwvhfq,R TONELLI,2,4,80,6
kygmulhupfcp,M TARINI,1,15,294,9
avglgmkbyhpd,M TARINI,1,15,294,9
faspshknpklr,S SCHIFANO,2,16,300,13
mdmilengkhkw,S SCHIFANO,2,16,300,13
zytakmkdvojj,L ROSASCO,1,9,309,8
